Common Name,Primary Genre,Combined Genres,TimeBirth,TimeDeath,Birth-Death Text,Abstract,City Text,County text,Personal Website,PSU Catalog Link - HTML,Expanded Biography,PIC_URL,Latitude,Longitude,Photo Credit,Alt Text,City | County | Bio Link,PSU Link | Personal Website
Emma Bugbee,Journalism,Journalism | Children's,05/18/1908,10/6/1981,5/18/1888 - 10/6/1981,"<p>Emma Bugbee, a leading female journalist, was born in Shippensburg, Pennsylvania, in 1888. She worked for over 50 years for the <em>New York Herald Tribune</em>. She became most famous for her coverage of First Lady Eleanor Roosevelt. Bugbee died in 1981 in Rhode Island.</p>","Shippensburg, PA",Cumberland County,,,"<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Bugbee__Emma"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Bugbee__Emma.jpg,40.051313,-77.518666,"Photo Credit: Photograph of Emma Bugbee. Photograph. Licensed under Fair Use. Cropped to 4x3, Filled background. Source: Online Resource. Source: https://2.bp.blogspot.com/-b4wKLpx0QqM/TyaRDveGqlI/AAAAAAAALDM/1t5Tg-u_9jo/s320/Emma-Bbugbee.jpg.",,"Shippensburg, PA | Cumberland County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Bugbee__Emma"" target=""_blank"">Expanded Biography</a>",
Ed Bullins,Screenwriting / Playwriting,Screenwriting / Playwriting | Fiction,07/02/1955,11/13/2021,7/2/1935 - 11/13/2021,"<p>Ed Bullins was born on July 2, 1935, in Philadelphia, Pennsylvania. He is an African-American playwright and author who has written over 100 plays. Bullins dropped out of Franklin High School in 1952 and joined the Navy. After serving for four years, he moved to California to continue his education and there he began writing plays. Bullins won several awards and grants over his career. His bestknown works include <em>Clara's Ole Man</em> (1965), <em>The Taking of Miss Janie</em> (1975), and <em>Goin' a Buffalo</em> (1968).</p>","Philadelphia, PA",Philadelphia County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Bullins%2C+Ed"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Bullins__Ed"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Bullins__Ed.jpg,40.006762,-75.142863,Photo Credit: Lou Jones / Northeastern University. Photograph of Ed Bullins. Photograph. Licensed under Fair Use. Cropped to 4x3. Source: Online Resource. Source: https://news.northeastern.edu/category/alumni/0303/bullins.html.,,"Philadelphia, PA | Philadelphia County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Bullins__Ed"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Bullins%2C+Ed"" target=""_blank"">PSU Catalog Link</a>"
Kenneth Burke,Fiction,Fiction,05/05/1917,11/19/1993,5/5/1897 - 11/19/1993,"<p>Kenneth Burke was born in Pittsburgh, Pennsylvania, on May 5, 1897. As one of the founders of the New Criticism literary movement, Burke produced a body of work that has left a mark on many American-born writers, critics, and literary theorists. He explored problems of interpretation, literary meaning, and symbolic action in terms of their relationship to human motivations. In 1981, Burke was awarded the National Medal for Literature. Burke died in 1993 in Andover, New Jersey.</p>","Pittsburgh, PA",Allegheny County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Burke%2C+Kenneth%2C+1897-1993"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Burke__Kenneth"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Burke__Kenneth_Duva.jpg,40.46705,-79.923049,"Photo Credit: Robert Brewer. Kenneth Burke in a 1989 photo by Robert Brewer, taken at the farm. ca. 1989. Photograph. Licensed under Fair Use. Cropped to 4x3. Source: Online Resource. Source: http://www.advertisernewsnorth.com/storyimage/AN/20171122/FEATURES01/171129980/AR/0/AR-171129980.jpg&q=100&maxw=550&maxh=500.",,"Pittsburgh, PA | Allegheny County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Burke__Kenneth"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Burke%2C+Kenneth%2C+1897-1993"" target=""_blank"">PSU Catalog Link</a>"
Deborah Burnham,Poetry,Poetry,03/07/1968,1/1/2050,Born: 3/7/1948,"<p>Born on March 7, 1948, in Huntington, West Virginia, Deborah Burnham is a poet known for her clear and positive poetry. She earned her BA from the College of Wooster in Ohio in 1970 and her PhD in Modern British and American Literature from the University of Pennsylvania in 1989. In 1995, she won the Texas Tech University Press Poetry Award, an annual poetry prize that resulted in the publication of her first collection, <em>Anna and the Steel Mill</em>. In 2002, her poem Fire in the Onion Field was selected for publication by the Public Poetry Project of the Pennsylvania Center for the Book. Among her works include her chapbook <em>Still</em> (2008), and at the time of this writing Burnham serves as the Associate Undergraduate Chair of the English Department at the University of Pennsylvania.</p>","Philadelphia, PA",Philadelphia County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Burnham%2C+Deborah"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Burnham__Deborah"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Burnham__Deborah.jpg,39.95252,-75.191726,"Photo Credit: UPenn. Deborah Burnham, Associate Undergraduate Chair. Photograph. Licensed under Fair Use. Cropped to 4x3, Filled background. Source: Online Resource. Source: https://www.english.upenn.edu/sites/www.english.upenn.edu/files/people/photo/unnamed.jpg.",,"Philadelphia, PA | Philadelphia County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Burnham__Deborah"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Burnham%2C+Deborah"" target=""_blank"">PSU Catalog Link</a>"
Augusten Burroughs,Nonfiction,Nonfiction | Fiction,10/23/1985,1/1/2050,Born: 10/23/1965,"<p>Augusten Burroughs was born on October 23, 1965, in Pittsburgh, Pennsylvania, as Christopher Robison. His harsh upbringing inspired his most famous work <em>Running with Scissors</em> (2002), a memoir that landed him on the <em>New York Times</em> Bestseller list. <em>Running with Scissors</em> was turned into a 2006 film of the same name. He has written additional memoirs, including a collection of stories for Christmas and <em>Lust & Wonder </em>(2016), which have all been <em>New York Times </em>Bestsellers.</p>","Pittsburgh, PA",Allegheny County,https://www.augusten.com/,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Burroughs%2C+Augusten"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Burroughs__Augusten"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Burroughs__Augusten_Xon.jpg,40.438423,-80.001933,"Photo Credit: David Shankbone. Augusten Burroughs and David Shankbone. 1 May 2009. Photograph. Licensed under CC BY 2.0. Cropped to 4x3. Source: Flickr. East Village, NYC.Source: https://www.flickr.com/photos/shankbone/2600301637/in/photolist-4XMe5R-4NYAdo-7d3Hbc-asQW6v-asQWJk-7cSojd-7cNsXV-2GwVk-asTxME.",,"Pittsburgh, PA | Allegheny County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Burroughs__Augusten"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Burroughs%2C+Augusten"" target=""_blank"">PSU Catalog Link</a> | <a href=""https://www.augusten.com/"" target=""_blank"">Personal Website</a>"
CM Burroughs,Poetry,Poetry,12/21/2001,1/1/2050,Born: 12/21/1981,"<p>A native of Atlanta, CM Burroughs moved to Pittsburgh to study and teach writing at the University of Pittsburgh. Her poetry has been published in journals, reviews and anthologies, and her readings have been featured at art galleries and on the airwaves. Her work has appeared in various literary journals and periodicals, as well as anthologies, including <em>Only the Sea Keeps </em>and<em> Gathering Ground</em>. Museums have commissioned her to write in response to artwork and have hosted her readings. Her first book of poems, <em>The Vital System</em>, was published in 2012. At the time of this writing, Burroughs lives in Chicago, where she serves as an Assistant Professor of Poetry at Columbia College Chicago.</p>","Pittsburgh, PA",Allegheny County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Burroughs%2C+CM%2C+1981-"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Burroughs__CM"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Burroughs__CM.jpg,40.44439,-79.953413,"Photo Credit: Columbia College Chicago. CM Burroughs, Assistant Professor. Photograph. Licensed under Fair Use. Cropped to 4x3. Source: Online Resource. Source: https://www.faculty180.com/app_data/colum/faculty/247537/photo/photo.jpeg.",,"Pittsburgh, PA | Allegheny County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Burroughs__CM"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Burroughs%2C+CM%2C+1981-"" target=""_blank"">PSU Catalog Link</a>"
Christopher Bursk,Poetry,Poetry,04/23/1963,1/1/2050,Born: 4/23/1943,"<p>Poet Christopher Bursk was born in Cambridge, Massachusetts, in 1943. He is the author of several poetry collections that blend his enthusiasm for the written word with his enthusiasm for social activism. He has won a number of awards for his poetry and humanitarian efforts, including being named Bucks County Poet Laureate in 1978, winning the Bright Hill Chapbook Competition in 2011, and being awarded the Bucks County Community Foundation Education Award in 2013. In 2007, his poem Does Poetry Matter? was selected for publication by the <a href=""https://pabook.libraries.psu.edu/awards-contests/public-poetry-project?field_award_year_value=2007"" target=""_blank"">Public Poetry Project of the Pennsylvania Center for the Book</a>. At the time of this writing, Bursk continues to serve as a Professor of Language and Literature at Bucks County Community College in Newtown, Pennsylvania.</p>","Newtown, PA",Bucks County,http://www.christopherbursk.com/,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Bursk%2C+Christopher"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Bursk__Christopher"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Bursk__Christopher.jpg,40.228337,-74.93226,"Photo Credit: Photograph of Christopher Bursk. Photograph. Licensed under Fair Use. Cropped to 4x3, Filled background. Source: Online Resource. Source: http://www.christopherbursk.com/images/headshot1.jpg.",,"Newtown, PA | Bucks County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Bursk__Christopher"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Bursk%2C+Christopher"" target=""_blank"">PSU Catalog Link</a> | <a href=""http://www.christopherbursk.com/"" target=""_blank"">Personal Website</a>"
Frederick Busch,Fiction,Fiction,08/01/1961,2/23/2006,8/1/1941 - 2/23/2006,"<p>Frederick Busch was born on August 1, 1941, in Brooklyn, New York. He earned a Bachelor of Arts degree in English from Muhlenberg College in 1962. In 1963, he married Judith Burroughs with whom he had two sons. In 1966, he became a professor at Colgate University, and in 1967 he completed his master's degree from Columbia University. Following these accomplishments, he completed and published his first novel in 1971, <em>I Wanted a Year without Fall</em>. Busch continued to write through his lifetime, publishing over twenty novels as well as numerous short stories until his death in 2006.</p>","Allentown, PA",Lehigh County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Busch%2C+Frederick%2C+1941-2006"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Busch__Frederick"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Busch__Frederick.jpg,40.597544,-75.510132,"Photo Credit: Red Diaz / Duende Publishing. Photograph of Frederick Busch. Photograph. Licensed under Fair Use. Cropped to 4x3, Filled background. Source: Online Resource. Source: http://www.identitytheory.com/wp-content/uploads/2003/02/frederick-busch3.jpg.",,"Allentown, PA | Lehigh County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Busch__Frederick"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Busch%2C+Frederick%2C+1941-2006"" target=""_blank"">PSU Catalog Link</a>"
Smedley Butler,Nonfiction,Nonfiction,07/30/1901,6/21/1940,7/30/1881 - 6/21/1940,"<p>Born to a Quaker family in 1881, Smedley Darlington Butler entered the military at the age of 16, lying about his age. He won two Medals of Honor for his brave service in Veracruz, Mexico in 1914, and at Fort Riviere, Haiti, in 1915. He later wrote books speaking out against the military and government he had served. Butler died in 1940 from cancer.</p>","West Chester, PA",Chester County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Butler%2C+Smedley+D.+(Smedley+Darlington)%2C+1881-1940"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Butler__Smedley"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Butler__Smedley.jpg,39.963981,-75.607775,Photo Credit: U.S. Marine Corps. A picture of a double medal of honor recipient Smedley Butler. Photograph. Licensed under Public Domain. Cropped to 4x3. Source: Wikimedia Commons. Source: https://upload.wikimedia.org/wikipedia/commons/5/54/SmedleyButler.jpeg.,,"West Chester, PA | Chester County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Butler__Smedley"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Butler%2C+Smedley+D.+(Smedley+Darlington)%2C+1881-1940"" target=""_blank"">PSU Catalog Link</a>"
Bebe Moore Campbell,Fiction,Fiction,02/18/1970,11/27/2006,2/18/1950 - 11/27/2006,"<p>Bebe Moore Campbell was born to George and Doris Campbell in Philadelphia, Pennsylvania, on February 18, 1950. Growing up in a home where her parents were separated, Campbell lived with both parents; with her mother in Pennsylvania and father in North Carolina. She graduated from the University of Pittsburgh with a Bachelor of Science degree in Elementary Education and worked as an elementary and middle school teacher for several years before beginning her literary career. She had a son and daughter, Ellis Gordon III and Maia Campbell. Bebe Moore Campbell died of neurological brain complications at age fifty-six in Los Angeles on November 27, 2006.</p>","Pittsburgh, PA",Allegheny County,,"<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Campbell%2C+Bebe+Moore%2C+1950-2006"" target=""_blank"">PSU Catalog Link</a>","<a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Campbell__Bebe_Moore"" target=""_blank"">Expanded Biography</a>",https://pabook.libraries.psu.edu/sites/default/files/biosimages/Campbell__Bebe_Moore.jpg,40.443649,-79.954516,Photo Credit: Barbara DuMetz. Photograph of Bebe Moore Campbell. Photograph. Licensed under Fair Use. Cropped to 4x3. Source: Online Resource. Source: https://media.npr.org/news/images/2006/nov/27/campbell200-594633fee05190b11e4ee192eed6a1f4527dfcb2-s300-c85.jpg.,,"Pittsburgh, PA | Allegheny County | <a href=""https://pabook.libraries.psu.edu/literary-cultural-heritage-map-pa/bios/Campbell__Bebe_Moore"" target=""_blank"">Expanded Biography</a>","<a href=""https://catalog.libraries.psu.edu/?f[all_authors_facet][]=Campbell%2C+Bebe+Moore%2C+1950-2006"" target=""_blank"">PSU Catalog Link</a>"
